iter	Passed	Remaining
0	31	6224
1	93	9233
2	108	7138
3	144	7094
4	174	6795
5	195	6321
6	224	6197
7	262	6292
8	336	7132
9	376	7159
10	432	7434
11	464	7274
12	488	7026
13	525	6987
14	565	6977
15	601	6911
16	631	6798
17	649	6567
18	694	6616
19	739	6652
20	779	6643
21	817	6615
22	882	6789
23	901	6611
24	943	6607
25	988	6612
26	1032	6615
27	1076	6614
28	1165	6869
29	1187	6727
30	1265	6898
31	1337	7024
32	1401	7091
33	1445	7057
34	1490	7026
35	1584	7218
36	1632	7192
37	1705	7269
38	1747	7212
39	1789	7159
40	1830	7096
41	1869	7034
42	1935	7067
43	1989	7053
44	2034	7008
45	2086	6986
46	2178	7092
47	2233	7072
48	2327	7171
49	2369	7107
50	2410	7041
51	2437	6938
52	2511	6966
53	2551	6898
54	2623	6916
55	2674	6876
56	2715	6812
57	2761	6762
58	2801	6695
59	2885	6733
60	2941	6702
61	2977	6628
62	3038	6607
63	3084	6554
64	3184	6614
65	3237	6572
66	3279	6510
67	3343	6490
68	3400	6456
69	3443	6394
70	3496	6352
71	3545	6303
72	3589	6244
73	3647	6211
74	3698	6163
75	3763	6140
76	3868	6179
77	3907	6111
78	3958	6063
79	4013	6019
80	4073	5983
81	4131	5945
82	4197	5916
83	4252	5873
84	4340	5872
85	4405	5839
86	4451	5781
87	4498	5725
88	4543	5666
89	4616	5642
90	4678	5604
91	4739	5564
92	4794	5516
93	4845	5464
94	4894	5410
95	4939	5350
96	4988	5297
97	5047	5253
98	5081	5184
99	5178	5178
100	5247	5143
101	5303	5095
102	5366	5053
103	5412	4995
104	5453	4934
105	5511	4887
106	5562	4834
107	5613	4781
108	5667	4731
109	5722	4681
110	5782	4636
111	5804	4560
112	5864	4515
113	5956	4493
114	6029	4456
115	6076	4400
116	6127	4346
117	6199	4307
118	6247	4252
119	6302	4201
120	6386	4170
121	6449	4123
122	6517	4079
123	6574	4029
124	6617	3970
125	6672	3918
126	6765	3888
127	6842	3848
128	6935	3816
129	7002	3770
130	7085	3731
131	7154	3685
132	7222	3638
133	7281	3586
134	7335	3531
135	7422	3492
136	7471	3436
137	7556	3395
138	7620	3344
139	7704	3301
140	7757	3246
141	7811	3190
142	7863	3134
143	7950	3091
144	8010	3038
145	8062	2982
146	8125	2929
147	8180	2874
148	8245	2822
149	8289	2763
150	8334	2704
151	8414	2657
152	8537	2622
153	8587	2565
154	8640	2508
155	8683	2449
156	8748	2396
157	8855	2353
158	8908	2297
159	8954	2238
160	9015	2183
161	9094	2133
162	9172	2082
163	9224	2024
164	9268	1966
165	9325	1910
166	9376	1852
167	9424	1795
168	9477	1738
169	9543	1684
170	9593	1627
171	9695	1578
172	9761	1523
173	9830	1468
174	9876	1410
175	9931	1354
176	9982	1297
177	10022	1238
178	10065	1180
179	10146	1127
180	10193	1070
181	10239	1012
182	10305	957
183	10412	905
184	10474	849
185	10524	792
186	10582	735
187	10637	679
188	10695	622
189	10737	565
190	10814	509
191	10865	452
192	10924	396
193	11032	341
194	11082	284
195	11132	227
196	11183	170
197	11230	113
198	11308	56
199	11356	0
