iter	Logloss
0	0.326656218
1	0.2482188072
2	0.2150703194
3	0.1926093541
4	0.1864113882
5	0.1819735449
6	0.1796728933
7	0.1787674944
8	0.1763929624
9	0.1758586341
10	0.1748094517
11	0.1743402053
12	0.173538181
13	0.1727728411
14	0.1717843724
15	0.1713778776
16	0.1712089527
17	0.1711355582
18	0.1708766208
19	0.1705717616
20	0.1702099937
21	0.169914275
22	0.1696126629
23	0.1694730716
24	0.1694407241
25	0.1692199509
26	0.1689883299
27	0.1677500033
28	0.1674494608
29	0.1674215962
30	0.1670239742
31	0.1666130939
32	0.1660065013
33	0.1656206688
34	0.1654867367
35	0.1652723681
36	0.1651582645
37	0.1651223174
38	0.1648436393
39	0.1647748949
40	0.1642861567
41	0.1642644979
42	0.1640055501
43	0.1635880095
44	0.1632360019
45	0.162986987
46	0.1629145358
47	0.162521323
48	0.1622425114
49	0.1620783756
50	0.1619831812
51	0.1611501325
52	0.161010438
53	0.1604235533
54	0.1599778417
55	0.1599004348
56	0.1598737029
57	0.1596541276
58	0.159530686
59	0.1594891486
60	0.1593800969
61	0.1592721859
62	0.1590127576
63	0.1588717956
64	0.1586981722
65	0.158463708
66	0.1584006077
67	0.1580730881
68	0.157846606
69	0.157578573
70	0.1572046263
71	0.1569697084
72	0.1568287006
73	0.1567062962
74	0.1566938674
75	0.1566840596
76	0.1566681493
77	0.1565821623
78	0.15635483
79	0.1562325344
80	0.1560699086
81	0.1557813534
82	0.1554425255
83	0.1549886927
84	0.1547914586
85	0.1547484678
86	0.1545629533
87	0.1543089379
88	0.1541881325
89	0.1538900173
90	0.1535130222
91	0.1531905593
92	0.1531493655
93	0.1529966062
94	0.1529002919
95	0.1528931615
96	0.1526917457
97	0.1524985144
98	0.1524052265
99	0.1522649602
