iter	Passed	Remaining
0	22	2194
1	49	2402
2	73	2390
3	98	2360
4	144	2740
5	169	2660
6	193	2570
7	218	2509
8	241	2446
9	266	2394
10	292	2364
11	316	2317
12	341	2282
13	363	2235
14	387	2194
15	410	2154
16	459	2241
17	483	2201
18	506	2158
19	529	2117
20	553	2080
21	575	2040
22	598	2003
23	621	1968
24	644	1933
25	667	1900
26	690	1867
27	713	1835
28	737	1804
29	759	1773
30	783	1743
31	805	1712
32	829	1683
33	852	1654
34	877	1629
35	901	1602
36	923	1573
37	955	1559
38	982	1536
39	1008	1512
40	1032	1485
41	1055	1456
42	1077	1428
43	1100	1401
44	1123	1373
45	1147	1346
46	1169	1319
47	1192	1292
48	1217	1266
49	1239	1239
50	1262	1213
51	1286	1187
52	1309	1161
53	1332	1135
54	1355	1108
55	1377	1082
56	1400	1056
57	1423	1030
58	1446	1005
59	1469	979
60	1492	954
61	1521	932
62	1545	907
63	1568	882
64	1590	856
65	1624	836
66	1648	811
67	1674	788
68	1699	763
69	1724	739
70	1752	715
71	1778	691
72	1803	667
73	1863	654
74	1907	635
75	1940	612
76	1963	586
77	1986	560
78	2012	535
79	2034	508
80	2057	482
81	2081	456
82	2104	430
83	2127	405
84	2149	379
85	2172	353
86	2195	328
87	2218	302
88	2241	277
89	2264	251
90	2286	226
91	2310	200
92	2333	175
93	2356	150
94	2380	125
95	2403	100
96	2426	75
97	2449	49
98	2476	25
99	2502	0
